Species_Name	Clade	Order	Family	Genus	Functional group	Mean body mength	Mean max body length	Myelination	Spawning mode	Trophic group	Feeding mode
Acartia_bifilosa	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.00215384615385	1.25	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_fossae	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.145	1.4	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_spinata	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.171	1.24	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_tonsa	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.20307692307692	1.5	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_tumida	Copepoda	Calanoida	Acartiidae	Acartia	FG11	2.175	2.7	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_danae	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.17297058823529	1.34	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_negligens	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.18410256410256	2.07	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_clausii	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.07475862068966	1.47	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_clausi	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.07475862068966	1.47	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_ensifera	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.01125	1.25	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_hudsonica	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.0228	1.32	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_longiremis	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.11777272727273	1.4	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_omorii	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.1075	1.3	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_simplex	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.0275	1.18	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_tranteri	Copepoda	Calanoida	Acartiidae	Acartia	NA	NA	NA	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_amboinensis	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.41166666666667	1.47	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_australis	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.3325	1.4	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_erythraea	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.311	1.5	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_lilljeborgi	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.37666666666667	1.4	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_pacifica	Copepoda	Calanoida	Acartiidae	Acartia	FG11	1.2146	1.35	0	Free	Omnivore-Herbivore	Current-Ambush
Acartia_sp	Copepoda	Calanoida	Acartiidae	Acartia	NA	NA	NA	0	Free	Omnivore-Herbivore	Current-Ambush
Acrocalanus_gibber	Copepoda	Calanoida	Paracalanidae	Acrocalanus	FG7	1.02111111111111	1.28	1	Free	Omnivore-Herbivore	Current
Acrocalanus_gracilis	Copepoda	Calanoida	Paracalanidae	Acrocalanus	FG7	1.23769230769231	1.8	1	Free	Omnivore-Herbivore	Current
Acrocalanus_longicornis	Copepoda	Calanoida	Paracalanidae	Acrocalanus	FG7	1.19566666666667	1.55	1	Free	Omnivore-Herbivore	Current
Acrocalanus_monachus	Copepoda	Calanoida	Paracalanidae	Acrocalanus	FG7	0.971764705882353	1.1	1	Free	Omnivore-Herbivore	Current
Aegisthus_mucronatus	Copepoda	Harpacticoida	Aegisthidae	Aegisthus	NA	2.082	2.6	0	Sac	NA	NA
Aetideopsis_armatus	Copepoda	Calanoida	Aetideidae	Aetideopsis	FG8	3.54461538461538	4.5	1	Free	Omnivore-Carnivore	NA
Aetideopsis_minor	Copepoda	Calanoida	Aetideidae	Aetideopsis	FG8	3.12	3.9	1	Sac	Omnivore-Carnivore	NA
Aetideopsis_rostrata	Copepoda	Calanoida	Aetideidae	Aetideopsis	FG8	3.72947368421053	4.6	1	Free	Omnivore-Carnivore	NA
Aetideus_acutus	Copepoda	Calanoida	Aetideidae	Aetideus	FG8	1.65484848484848	1.8	1	Free	Omnivore-Carnivore	Ambush
Aetideus_armatus	Copepoda	Calanoida	Aetideidae	Aetideus	FG8	1.81119047619048	2.25	1	Free	Omnivore-Carnivore	Ambush
Aetideus_giesbrechti	Copepoda	Calanoida	Aetideidae	Aetideus	FG8	1.94861111111111	2.2	1	Free	Omnivore-Carnivore	Ambush
Aetideus_pacificus	Copepoda	Calanoida	Aetideidae	Aetideus	FG8	2.3325	3	1	Free	Omnivore-Carnivore	Ambush
Agetus_flaccus	Copepoda	Cyclopoida	Corycaeidae	Agetus	FG4	1.675	1.89	0	Sac	Carnivore	Ambush
Agetus_limbatus	Copepoda	Cyclopoida	Corycaeidae	Agetus	FG4	1.42066666666667	1.64	0	Sac	Carnivore	Ambush
Agetus_typicus	Copepoda	Cyclopoida	Corycaeidae	Agetus	FG4	1.59677419354839	1.8	0	Sac	Carnivore	Ambush
Amallothrix_dentipes	Copepoda	Calanoida	Scolecitrichidae	Amallothrix	FG3	2.6175	2.84	1	Free	Omnivore-Detritivore	NA
Amallothrix_propinqua	Copepoda	Calanoida	Scolecitrichidae	Amallothrix	FG3	3.19	3.4	1	Free	Omnivore-Detritivore	NA
Amallothrix_tenuiserrata	Copepoda	Calanoida	Scolecitrichidae	Amallothrix	FG3	1.1045	1.22	0	Free	Omnivore-Detritivore	Current
Anomalocera_patersoni	Copepoda	Calanoida	Pontellidae	Anomalocera	FG9	3.541875	4.1	0	Free	Omnivore	Current
Arietellus_setosus	Copepoda	Calanoida	Arietellidae	Arietellus	FG8	4.80181818181818	5.5	0	Sac	Omnivore-Carnivore	NA
Atrophia_glacialis	Copepoda	Cyclopoida	Lubbockiidae	Atrophia	NA	1.77714285714286	2.45	0	Sac	NA	NA
Augaptilus_glacialis	Copepoda	Calanoida	Augaptilidae	Augaptilus	FG8	4.94894736842105	5.9	0	Free	Omnivore-Carnivore	NA
Augaptilus_longicaudatus	Copepoda	Calanoida	Augaptilidae	Augaptilus	FG8	3.73508	5.9	0	Free	Omnivore-Carnivore	NA
Bestiolina_similis	Copepoda	Calanoida	Paracalanidae	Bestiolina	FG7	0.78875	1	1	Free	NA	Current
Bradyidius_armatus	Copepoda	Calanoida	Aetideidae	Bradyidius	FG9	2.425	2.7	1	Free	Omnivore	Current
Bradyidius_similis	Copepoda	Calanoida	Aetideidae	Bradyidius	FG9	3.02666666666667	3.24	1	Free	Omnivore	Current
Calanoides_acutus	Copepoda	Calanoida	Calanidae	Calanoides	FG6	4.938	5.7	1	Free	Omnivore-Herbivore	Current
Calanoides_carinatus	Copepoda	Calanoida	Calanidae	Calanoides	FG7	3.54166666666667	4	1	Free	Omnivore-Herbivore	Current
Calanopia_americana	Copepoda	Calanoida	Pontellidae	Calanopia	FG9	1.60833333333333	2.1	0	Free	Omnivore	Current
Calanopia_aurivilli	Copepoda	Calanoida	Pontellidae	Calanopia	FG9	1.29	1.56	0	Free	Omnivore	Current
Calanopia_elliptica	Copepoda	Calanoida	Pontellidae	Calanopia	FG9	1.81041666666667	2.1	0	Free	Omnivore	Current
Calanopia_minor	Copepoda	Calanoida	Pontellidae	Calanopia	FG9	1.31055555555556	1.4	0	Free	Omnivore	Current
Calanus_agulhensis	Copepoda	Calanoida	Calanidae	Calanus	NA	NA	NA	1	Free	Omnivore-Herbivore	Current
Calanus_australis	Copepoda	Calanoida	Calanidae	Calanus	FG7	3.1	3.76	1	Free	Omnivore-Herbivore	Current
Calanus_chilensis	Copepoda	Calanoida	Calanidae	Calanus	NA	NA	NA	1	Free	Omnivore-Herbivore	Current
Calanus_finmarchicus	Copepoda	Calanoida	Calanidae	Calanus	FG7	3.46866666666667	5	1	Free	Omnivore-Herbivore	Current
Calanus_glacialis	Copepoda	Calanoida	Calanidae	Calanus	FG6	4.65090909090909	6	1	Free	Omnivore-Herbivore	Current
Calanus_helgolandicus	Copepoda	Calanoida	Calanidae	Calanus	FG7	2.80727272727273	3.5	1	Free	Omnivore-Herbivore	Current
Calanus_hyperboreus	Copepoda	Calanoida	Calanidae	Calanus	FG6	8.07285714285714	10	1	Free	Omnivore-Herbivore	Current
Calanus_marshallae	Copepoda	Calanoida	Calanidae	Calanus	FG7	3.56	4.52	1	Free	Omnivore-Herbivore	Current
Calanus_pacificus	Copepoda	Calanoida	Calanidae	Calanus	FG7	3.248	5.3	1	Free	Omnivore-Herbivore	Current
Calanus_propinquus	Copepoda	Calanoida	Calanidae	Calanus	FG6	5.27785714285714	6	1	Free	Omnivore-Herbivore	Current
Calanus_simillimus	Copepoda	Calanoida	Calanidae	Calanus	FG7	3.27521739130435	3.97	1	Free	Omnivore-Herbivore	Current
Calanus_sinicus	Copepoda	Calanoida	Calanidae	Calanus	FG7	2.818	3.6	1	Free	Omnivore-Herbivore	Current
Calanus_sp	Copepoda	Calanoida	Calanidae	Calanus	NA	NA	NA	1	Free	Omnivore-Herbivore	Current
Calocalanus_adriaticus	Copepoda	Calanoida	Paracalanidae	Calocalanus	NA	NA	NA	1	Free	Omnivore-Herbivore	Current
Calocalanus_contractus	Copepoda	Calanoida	Paracalanidae	Calocalanus	FG7	0.724714285714286	0.91	1	Free	Omnivore-Herbivore	Current
Calocalanus_elegans	Copepoda	Calanoida	Paracalanidae	Calocalanus	FG7	0.51	0.52	1	Free	Omnivore-Herbivore	Current
Calocalanus_elongatus	Copepoda	Calanoida	Paracalanidae	Calocalanus	NA	NA	NA	1	Free	Omnivore-Herbivore	Current
Calocalanus_gracilis	Copepoda	Calanoida	Paracalanidae	Calocalanus	FG7	0.628333333333333	0.7	1	Free	Omnivore-Herbivore	Current
Calocalanus_longisetosus	Copepoda	Calanoida	Paracalanidae	Calocalanus	NA	NA	NA	1	Free	Omnivore-Herbivore	Current
Calocalanus_neptunus	Copepoda	Calanoida	Paracalanidae	Calocalanus	FG7	0.878333333333333	0.96	1	Free	Omnivore-Herbivore	Current
Calocalanus_pavo	Copepoda	Calanoida	Paracalanidae	Calocalanus	FG7	1.05452307692308	1.5	1	Free	Omnivore-Herbivore	Current
Calocalanus_pavoninus	Copepoda	Calanoida	Paracalanidae	Calocalanus	FG7	0.705	0.97	1	Free	Omnivore-Herbivore	Current
Calocalanus_plumatus	Copepoda	Calanoida	Paracalanidae	Calocalanus	FG7	0.583333333333333	0.61	1	Free	Omnivore-Herbivore	Current
Calocalanus_plumulosus	Copepoda	Calanoida	Paracalanidae	Calocalanus	FG7	1.07938461538462	1.344	1	Free	Omnivore-Herbivore	Current
Calocalanus_styliremis	Copepoda	Calanoida	Paracalanidae	Calocalanus	FG7	0.698911764705882	0.95	1	Free	Omnivore-Herbivore	Current
Calocalanus_tenuis	Copepoda	Calanoida	Paracalanidae	Calocalanus	FG7	1.14470588235294	1.31	1	Free	Omnivore-Herbivore	Current
Calocalanus_sp	Copepoda	Calanoida	Paracalanidae	Calocalanus	NA	NA	NA	1	Free	Omnivore-Herbivore	Current
Candacia_armata	Copepoda	Calanoida	Candaciidae	Candacia	FG8	2.493625	3.19	0	Free	Carnivore	NA
Candacia_bipinnata	Copepoda	Calanoida	Candaciidae	Candacia	FG8	2.49063888888889	3.16	0	Free	Carnivore	NA
Candacia_bispinosa	Copepoda	Calanoida	Candaciidae	Candacia	FG8	1.82555555555556	2.163	0	Free	Carnivore	NA
Candacia_bradyi	Copepoda	Calanoida	Candaciidae	Candacia	FG8	1.83909090909091	2.1	0	Free	Carnivore	NA
Candacia_catula	Copepoda	Calanoida	Candaciidae	Candacia	FG8	1.54	1.7	0	Free	Carnivore	NA
Candacia_columbiae	Copepoda	Calanoida	Candaciidae	Candacia	FG8	3.97777777777778	5	0	Free	Carnivore	NA
Candacia_curta	Copepoda	Calanoida	Candaciidae	Candacia	FG8	2.38161290322581	2.9	0	Free	Carnivore	NA
Candacia_discaudata	Copepoda	Calanoida	Candaciidae	Candacia	FG8	1.75166666666667	1.94	0	Free	Carnivore	NA
Candacia_ethiopica	Copepoda	Calanoida	Candaciidae	Candacia	FG8	2.48711627906977	3.03	0	Free	Carnivore	NA
Candacia_longimana	Copepoda	Calanoida	Candaciidae	Candacia	FG8	3.27568	3.9	0	Free	Carnivore	NA
Candacia_maxima	Copepoda	Calanoida	Candaciidae	Candacia	FG8	3.804	3.99	0	Free	Carnivore	NA
Candacia_pachydactyla	Copepoda	Calanoida	Candaciidae	Candacia	FG8	2.65210526315789	3.4	0	Free	Carnivore	NA
Candacia_simplex	Copepoda	Calanoida	Candaciidae	Candacia	FG8	1.92357142857143	2.32	0	Free	Carnivore	NA
Candacia_truncata	Copepoda	Calanoida	Candaciidae	Candacia	FG8	1.9775	2.3	0	Free	Carnivore	NA
Candacia_varicans	Copepoda	Calanoida	Candaciidae	Candacia	FG8	2.37716666666667	2.74	0	Free	Carnivore	NA
Candacia_sp	Copepoda	Calanoida	Candaciidae	Candacia	FG8	NA	NA	0	Free	Carnivore	NA
Canthocalanus_pauper	Copepoda	Calanoida	Calanidae	Canthocalanus	FG9	1.4778125	1.75	1	Free	Omnivore	Current
Centropages_abdominalis	Copepoda	Calanoida	Centropagidae	Centropages	FG11	1.77454545454545	2.1	0	Free	Omnivore	Current-Ambush
Centropages_aucklandicus	Copepoda	Calanoida	Centropagidae	Centropages	FG11	1.63666666666667	2.05	0	Free	Omnivore	Current-Ambush
Centropages_australiensis	Copepoda	Calanoida	Centropagidae	Centropages	NA	NA	NA	0	Free	Omnivore	Current-Ambush
Centropages_bradyi	Copepoda	Calanoida	Centropagidae	Centropages	FG11	1.92645161290323	2.5	0	Free	Omnivore	Current-Ambush
Centropages_calaninus	Copepoda	Calanoida	Centropagidae	Centropages	FG11	1.929	2.18	0	Free	Omnivore	Current-Ambush
Centropages_chierchiae	Copepoda	Calanoida	Centropagidae	Centropages	FG11	1.77413636363636	2.1	0	Free	Omnivore	Current-Ambush
Centropages_elongatus	Copepoda	Calanoida	Centropagidae	Centropages	FG11	1.706	1.91	0	Free	Omnivore	Current-Ambush
Centropages_furcatus	Copepoda	Calanoida	Centropagidae	Centropages	FG8	1.71641025641026	1.92	0	Free	Omnivore-Carnivore	Current-Ambush
Centropages_gracilis	Copepoda	Calanoida	Centropagidae	Centropages	FG11	1.92291666666667	2.16	0	Free	Omnivore	Current-Ambush
Centropages_hamatus	Copepoda	Calanoida	Centropagidae	Centropages	FG11	1.24833333333333	1.42	0	Free	Omnivore	Current-Ambush
Centropages_kroyeri	Copepoda	Calanoida	Centropagidae	Centropages	FG11	1.33516666666667	1.519	0	Free	Omnivore	Current-Ambush
Centropages_orsinii	Copepoda	Calanoida	Centropagidae	Centropages	FG11	1.538	1.7	0	Free	Omnivore	Current-Ambush
Centropages_orsini	Copepoda	Calanoida	Centropagidae	Centropages	FG11	1.538	1.7	0	Free	Omnivore	Current-Ambush
Centropages_tenuiremis	Copepoda	Calanoida	Centropagidae	Centropages	FG11	1.71777777777778	2	0	Free	Omnivore	Current-Ambush
Centropages_typicus	Copepoda	Calanoida	Centropagidae	Centropages	FG11	1.58376	2	0	Free	Omnivore	Current-Ambush
Centropages_violaceus	Copepoda	Calanoida	Centropagidae	Centropages	FG11	2.0051724137931	2.24	0	Free	Omnivore	Current-Ambush
Centropages_sp	Copepoda	Calanoida	Centropagidae	Centropages	NA	NA	NA	0	Free	Omnivore	Current-Ambush
Chiridius_gracilis	Copepoda	Calanoida	Aetideidae	Chiridius	FG3	2.626	3.1	1	Sac	Omnivore	Cruise
Chiridius_obtusifrons	Copepoda	Calanoida	Aetideidae	Chiridius	FG3	4.13222222222222	4.6	1	Sac	Omnivore	Cruise
Chiridius_poppei	Copepoda	Calanoida	Aetideidae	Chiridius	FG3	1.9125641025641	2.45	1	Sac	Omnivore	Cruise
Chirundina_streetsii	Copepoda	Calanoida	Aetideidae	Chirundina	FG3	5.12555555555556	6	1	Free	Omnivore-Detritivore	NA
Clausocalanus_arcuicornis	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	FG1	1.30088235294118	1.62	1	Free	Omnivore-Herbivore	Cruise
Clausocalanus_brevipes	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	FG1	1.50625	1.8	1	Sac	Omnivore-Herbivore	Cruise
Clausocalanus_farrani	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	FG1	1.07666666666667	1.22	1	Sac	Omnivore-Herbivore	Cruise
Clausocalanus_furcatus	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	FG1	1.14288461538462	1.75	1	Sac	Omnivore-Herbivore	Cruise
Clausocalanus_ingens	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	FG1	1.694	1.9	1	Free	Omnivore-Herbivore	Cruise
Clausocalanus_jobei	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	FG1	1.3175	1.56	1	Sac	Omnivore-Herbivore	Cruise
Clausocalanus_laticeps	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	FG1	1.445	1.67	1	Sac	Omnivore-Herbivore	Cruise
Clausocalanus_lividus	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	FG1	1.5865	1.98	1	Free	Omnivore-Herbivore	Cruise
Clausocalanus_mastigophorus	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	FG1	1.54922222222222	1.937	1	Free	Omnivore-Herbivore	Cruise
Clausocalanus_minor	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	FG1	1.13272727272727	1.3	1	Sac	Omnivore-Herbivore	Cruise
Clausocalanus_parapergens	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	FG1	1.5865	1.98	1	Sac	Omnivore-Herbivore	Cruise
Clausocalanus_paululus	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	FG1	1.54922222222222	1.937	1	Sac	Omnivore-Herbivore	Cruise
Clausocalanus_pergens	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	FG1	1.13272727272727	1.3	1	Sac	Omnivore-Herbivore	Cruise
Clausocalanus_sp	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	FG1	NA	NA	1	Sac	Omnivore-Herbivore	Cruise
Clytemnestra_scutellata	Copepoda	Harpacticoida	Peltidiidae	Clytemnestra	NA	NA	NA	0	Sac	NA	NA
Conaea_rapax	Copepoda	Cyclopoida	Oncaeidae	Conaea	FG2	1.05	1.16	0	Sac	Omnivore-Detritivore	Cruise
Copilia_mediterranea	Copepoda	Cyclopoida	Sapphirinidae	Copilia	FG5	3.68714285714286	4.4	0	Sac	Carnivore	NA
Copilia_mirabilis	Copepoda	Cyclopoida	Sapphirinidae	Copilia	FG5	3.18903225806452	5.8	0	Sac	Carnivore	NA
Copilia_quadrata	Copepoda	Cyclopoida	Sapphirinidae	Copilia	FG5	3.374375	4.58	0	Sac	Carnivore	NA
Corycaeus_clausi	Copepoda	Cyclopoida	Corycaeidae	Corycaeus	FG4	1.64922222222222	1.82	0	Sac	Carnivore	Ambush
Corycaeus_crassiusculus	Copepoda	Cyclopoida	Corycaeidae	Corycaeus	FG4	1.70848571428571	2	0	Sac	Carnivore	Ambush
Corycaeus_speciosus	Copepoda	Cyclopoida	Corycaeidae	Corycaeus	FG4	1.94022222222222	2.55	0	Sac	Carnivore	Ambush
Cosmocalanus_darwinii	Copepoda	Calanoida	Calanidae	Cosmocalanus	FG7	2.11969696969697	2.58	1	Free	Omnivore-Herbivore	Current
Ctenocalanus_citer	Copepoda	Calanoida	Clausocalanidae	Ctenocalanus	FG7	1.17	1.45	1	Sac	Omnivore-Herbivore	Current
Ctenocalanus_vanus	Copepoda	Calanoida	Clausocalanidae	Ctenocalanus	FG7	1.1644	1.7	1	Free	Omnivore-Herbivore	Current
Delibus_nudus	Copepoda	Calanoida	Paracalanidae	Delibus	FG7	1.1644	1.7	1	Free	Omnivore-Herbivore	Current
Dioithona_rigida	Copepoda	Cyclopoida	Oithonidae	Dioithona	FG10	0.777619047619048	1	0	Sac	Omnivore	Ambush
Ditrichocorycaeus_affinis	Copepoda	Cyclopoida	Corycaeidae	Ditrichocorycaeus	FG4	1	1.25	0	Sac	Carnivore	Ambush
Ditrichocorycaeus_anglicus	Copepoda	Cyclopoida	Corycaeidae	Ditrichocorycaeus	FG4	0.9646	1.19	0	Sac	Carnivore	Ambush
Ditrichocorycaeus_aucklandicus	Copepoda	Cyclopoida	Corycaeidae	Ditrichocorycaeus	FG4	1.1675	1.23	0	Sac	Carnivore	Ambush
Ditrichocorycaeus_brehmi	Copepoda	Cyclopoida	Corycaeidae	Ditrichocorycaeus	FG4	0.976666666666667	1.16	0	Sac	Carnivore	Ambush
Ditrichocorycaeus_dahli	Copepoda	Cyclopoida	Corycaeidae	Ditrichocorycaeus	FG4	1.04133333333333	1.21	0	Sac	Carnivore	Ambush
Ditrichocorycaeus_erythraeus	Copepoda	Cyclopoida	Corycaeidae	Ditrichocorycaeus	FG4	1.00416666666667	1.12	0	Sac	Carnivore	Ambush
Ditrichocorycaeus_sp	Copepoda	Cyclopoida	Corycaeidae	Ditrichocorycaeus	FG4	NA	NA	0	Sac	Carnivore	Ambush
Drepanopus_bungei	Copepoda	Calanoida	Clausocalanidae	Drepanopus	NA	1.2075	1.3	1	NA	NA	NA
Epilabidocera_amphitrites	Copepoda	Calanoida	Pontellidae	Epilabidocera	NA	NA	NA	0	Free	NA	NA
Euaugaptilus_hecticus	Copepoda	Calanoida	Augaptilidae	Euaugaptilus	FG8	2.501875	2.85	0	Free	Omnivore-Carnivore	Ambush
Eucalanus_bungii	Copepoda	Calanoida	Eucalanidae	Eucalanus	FG6	6.53	8	1	Free	Omnivore-Herbivore	Current
Eucalanus_elongatus	Copepoda	Calanoida	Eucalanidae	Eucalanus	FG6	NA	6.8	1	Free	Omnivore	Current
Eucalanus_hyalinus	Copepoda	Calanoida	Eucalanidae	Eucalanus	FG6	6.25172413793103	8.25	1	Free	Omnivore	Current
Euchaeta_acuta	Copepoda	Calanoida	Euchaetidae	Euchaeta	FG5	4.03935294117647	4.7	1	Sac	Carnivore	Current-Cruise
Euchaeta_concinna	Copepoda	Calanoida	Euchaetidae	Euchaeta	FG5	3.00006896551724	3.75	1	Sac	Carnivore	NA
Euchaeta_indica	Copepoda	Calanoida	Euchaetidae	Euchaeta	FG5	2.55382352941176	3	1	Sac	Carnivore	NA
Euchaeta_longicornis	Copepoda	Calanoida	Euchaetidae	Euchaeta	FG5	2.8476	3.32	1	Sac	Carnivore	NA
Euchaeta_marina	Copepoda	Calanoida	Euchaetidae	Euchaeta	FG5	3.26827586206897	3.9	1	Sac	Carnivore	Current-Cruise
Euchaeta_media	Copepoda	Calanoida	Euchaetidae	Euchaeta	FG5	3.93944444444444	4.82	1	Sac	Carnivore	Current
Euchaeta_paraconcinna	Copepoda	Calanoida	Euchaetidae	Euchaeta	FG5	2.69545454545455	3.23	1	Sac	Carnivore	NA
Euchaeta_plana	Copepoda	Calanoida	Euchaetidae	Euchaeta	FG5	3.04857142857143	3.5	1	Sac	Carnivore	NA
Euchaeta_rimana	Copepoda	Calanoida	Euchaetidae	Euchaeta	FG5	3.465	4.3	1	Sac	Carnivore	Current-Cruise
Euchaeta_spinosa	Copepoda	Calanoida	Euchaetidae	Euchaeta	FG5	6.4536	7.21	1	Sac	Carnivore	Current
Euchaeta_sp	Copepoda	Calanoida	Euchaetidae	Euchaeta	FG5	NA	NA	1	Sac	Carnivore	NA
Euchirella_amoena	Copepoda	Calanoida	Aetideidae	Euchirella	FG3	3.53954545454545	4	1	Sac	Omnivore-Detritivore	NA
Euchirella_messinensis	Copepoda	Calanoida	Aetideidae	Euchirella	FG3	4.85533333333333	6.2	1	Sac	Omnivore-Detritivore	NA
Euchirella_rostrata	Copepoda	Calanoida	Aetideidae	Euchirella	FG3	3.20590909090909	4.07	1	Sac	Omnivore-Detritivore	NA
Euchirella_rostromagna	Copepoda	Calanoida	Aetideidae	Euchirella	FG3	5.93818181818182	6.65	1	Sac	Omnivore-Detritivore	NA
Euterpina_acutifrons	Copepoda	Harpacticoida	Tachidiidae	Euterpina	FG2	0.657619047619048	0.86	0	Sac	Omnivore-Detritivore	NA
Farranula_carinata	Copepoda	Cyclopoida	Corycaeidae	Farranula	FG4	0.877678571428571	0.98	0	Sac	Carnivore	Ambush
Farranula_concinna	Copepoda	Cyclopoida	Corycaeidae	Farranula	FG4	0.890416666666667	1.04	0	Sac	Carnivore	Ambush
Farranula_curta	Copepoda	Cyclopoida	Corycaeidae	Farranula	FG4	0.743125	0.87	0	Sac	Carnivore	Ambush
