Species_Name	Clade	Order	Family	Genus	Functional group	Mean body mength	Mean max body length	Myelination	Spawning mode	Trophic group	Feeding mode
Onychocorycaeus_ovalis	Copepoda	Cyclopoida	Corycaeidae	Onychocorycaeus	FG4	1.22176470588235	1.65	0	Sac	Carnivore	Ambush
Onychocorycaeus_pacificus	Copepoda	Cyclopoida	Corycaeidae	Onychocorycaeus	FG4	1.13125	1.22	0	Sac	Carnivore	Ambush
Onychocorycaeus_sp	Copepoda	Cyclopoida	Corycaeidae	Onychocorycaeus	FG4	NA	NA	0	Sac	Carnivore	Ambush
Paracalanus_aculeatus	Copepoda	Calanoida	Paracalanidae	Paracalanus	FG7	1.08513513513514	1.45	1	Free	Omnivore-Herbivore	Current
Paracalanus_denudatus	Copepoda	Calanoida	Paracalanidae	Paracalanus	FG7	0.764090909090909	0.96	1	Free	Omnivore-Herbivore	Current
Paracalanus_indicus	Copepoda	Calanoida	Paracalanidae	Paracalanus	FG7	0.90625	1.3	1	Free	Omnivore-Herbivore	Current
Paracalanus_nanus	Copepoda	Calanoida	Paracalanidae	Paracalanus	FG7	0.764090909090909	0.96	1	Free	Omnivore-Herbivore	Current
Paracalanus_parvus	Copepoda	Calanoida	Paracalanidae	Paracalanus	FG7	0.90625	1.3	1	Free	Omnivore-Herbivore	Current
Paracalanus_quasimodo	Copepoda	Calanoida	Paracalanidae	Paracalanus	FG7	0.856666666666667	1	1	Free	Omnivore-Herbivore	Current
Paracalanus_sp	Copepoda	Calanoida	Paracalanidae	Paracalanus	FG7	NA	NA	1	Free	Omnivore-Herbivore	Current
Paraeuchaeta_antarctica	Copepoda	Calanoida	Euchaetidae	Paraeuchaeta	FG5	8.320625	10.4	1	Sac	Carnivore	NA
Paraeuchaeta_elongata	Copepoda	Calanoida	Euchaetidae	Paraeuchaeta	FG5	6.91666666666667	8	1	Sac	Carnivore	Current-Cruise
Paraeuchaeta_exigua	Copepoda	Calanoida	Euchaetidae	Paraeuchaeta	FG5	6.86777777777778	7.66	1	Sac	Carnivore	Current-Cruise
Paraeuchaeta_glacialis	Copepoda	Calanoida	Euchaetidae	Paraeuchaeta	FG5	10.09	11	1	Sac	Carnivore	Current-Cruise
Paraeuchaeta_gracilis	Copepoda	Calanoida	Euchaetidae	Paraeuchaeta	FG5	6.50863636363636	7.04	1	Sac	Carnivore	Current-Cruise
Paraeuchaeta_hebes	Copepoda	Calanoida	Euchaetidae	Paraeuchaeta	FG5	3.04745833333333	3.63	1	Sac	Carnivore	Current-Cruise
Paraeuchaeta_norvegica	Copepoda	Calanoida	Euchaetidae	Paraeuchaeta	FG5	8.20909090909091	11	1	Sac	Carnivore	Current-Cruise
Paraeuchaeta_sp	Copepoda	Calanoida	Euchaetidae	Paraeuchaeta	FG5	NA	NA	1	Sac	Carnivore	NA
