Species_Name	Taxonomic Group	MFT (MIXOPLANKTON FUNCTIONAL CLASSIFICATION)	can form colonies	HABs	MIXOPLANKTON SIZE	Mode of feeding	ability to use NO3 
Histioneis_megalocopa	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_milneri	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_mitchellana	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_oxypteris	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_pacifica	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_panaria	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_panda	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_paulseni	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_pulchra	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_reginella	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_rotundata	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_schilleri	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_striata	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_tubifera	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Histioneis_voukii	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Isochrysis_galbana	Haptophyta	CM	no	not recorded	nano	engulfment	yes
Karenia_brevis	Dinoflagellata	CM	no	yes	micro	not_recorded	yes
Karenia_mikimotoi	Dinoflagellata	CM	no	yes	micro	not_recorded	yes
Karenia_papilionacea	Dinoflagellata	CM	no	yes	micro	not_recorded	yes
Karlodinium_armiger	Dinoflagellata	CM	no	yes	nano	feeding_tube	yes
Karlodinium_azanzae	Dinoflagellata	CM	no	not recorded	micro	feeding_tube	yes
Karlodinium_veneficum	Dinoflagellata	CM	no	yes	nano	feeding_tube	yes
Kofoidinium_splendens	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Kryptoperidinium_foliaceum	Dinoflagellata	pSNCM	no	not recorded	micro	not_recorded	yes
Laboea_strobila	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Larcospira_quadrangula	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Lepidodinium_chlorophorum	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Lepidodinium_viride	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Lepidodinium	Dinoflagellata	CM	no	not recorded	nano	not_recorded	yes
Levanderina_fissa	Dinoflagellata	CM	no	not recorded	micro	engulfment	yes
Lingulodinium_polyedra	Dinoflagellata	CM	no	yes	micro	engulfment	yes
Lithoptera_mülleri	Radiolaria	eSNCM	no	not recorded	meso	axopodia;engulfment	not_recorded
Lonchostaurus_rhombicus	Radiolaria	eSNCM	no	not recorded	meso	axopodia;engulfment	not_recorded
Mantoniella_antarctica	Chlorophyta	CM	no	not recorded	micro	engulfment	yes
Mantoniella_squamata	Chlorophyta	CM	no	not recorded	micro	engulfment	yes
Margalefidinium_polykrikoides	Dinoflagellata	CM	no	yes	micro	engulfment	yes
Marginopora_vertebralis	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Maristentor_dinoferus	Ciliophora	eSNCM	no	not recorded	meso	filter_feeding	not_recorded
Mesodinium_chamaeleon	Ciliophora	pSNCM	no	not recorded	nano-micro	raptorial	not_recorded
Mesodinium_coatsi	Ciliophora	pSNCM	no	not recorded	nano-micro	raptorial	not_recorded
Mesodinium_major	Ciliophora	pSNCM	no	not recorded	micro	raptorial	not_recorded
Mesodinium_rubrum	Ciliophora	pSNCM	no	not recorded	nano-micro	raptorial	yes
Micromonas_pusilla	Chlorophyta	CM	no	not recorded	pico	engulfment	yes
Moestrupia_oblonga	Dinoflagellata	CM	no	not recorded	nano	feeding_tube	yes
Nematodinium	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Neogloboquadrina_dutertrei	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Nephroselmis_pyriformis	Chlorophyta	CM	not recorded	not recorded	nano	not_recorded	yes
Nephroselmis_rotunda	Chlorophyta	CM	not recorded	not recorded	nano	not_recorded	yes
Noctiluca_scintillans	Dinoflagellata	eSNCM	no	yes*	meso	engulfment	yes
Nonionella_stella	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Nusuttodinium_latum	Dinoflagellata	pSNCM	no	not recorded	micro	not_recorded	not_recorded
Nusuttodinium_myriopyrenoides	Dinoflagellata	pSNCM	no	not recorded	micro	not_recorded	not_recorded
Nusuttodinium_poecilochroum	Dinoflagellata	pSNCM	no	not recorded	micro	feeding_tube	not_recorded
Ochromonas_monicis	Ochrophyta	CM	no	not recorded	nano	engulfment	yes
Ochromonas_olivacea	Ochrophyta	CM	no	not recorded	nano	engulfment	yes
Ochromonas	Ochrophyta	CM	no	not recorded	nano-micro	engulfment	yes
Octodendron	Radiolaria	eSNCM	not recorded	not recorded	not recorded	axopodia;engulfment	not_recorded
Omegastrombidium_elegans	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Orbulina_universa	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Ornithocercus_francescae	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Ornithocercus_heteroporus_	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Ornithocercus_magnificus	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Ornithocercus_quadratus	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Ornithocercus_splendidus	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Ornithocercus_steinii	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Ornithocercus_thumii	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Ostreopsis_heptagona	Dinoflagellata	CM	no	yes	micro	not_recorded	yes
Ostreopsis_labens	Dinoflagellata	CM	no	not recorded	micro	not_recorded	yes
Ostreopsis_lenticularis	Dinoflagellata	CM	no	yes	micro	not_recorded	yes
Ostreopsis_mascarenensis	Dinoflagellata	CM	no	yes	micro	not_recorded	yes
Ostreopsis_ovata	Dinoflagellata	CM	no	yes	micro	not_recorded	yes
Ostreopsis_siamensis	Dinoflagellata	CM	no	yes	micro	not_recorded	yes
Otosphaera_aff._lagotis	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Otosphaera_polymorpha	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Paragymnodinium_shiwhaense	Dinoflagellata	CM	no	not recorded	nano	feeding_tube	yes
Paragymnodinium_stigmaticum	Dinoflagellata	CM	no	not recorded	nano	feeding_tube	yes
Parahistioneis_reticulata	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Paratontonia_gracillima	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Paratontonia_poopsia	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Pentapharsodinium_tyrrhenicum	Dinoflagellata	CM	no	not recorded	micro	feeding_tube	no
Pelagodinium	Dinoflagellata	CM	no	not recorded	nano	engulfment	yes
Perispira_ovatum	Ciliophora	pSNCM	no	not recorded	micro	raptorial	not_recorded
Pfiesteria_piscicida	Dinoflagellata	pSNCM	no	not recorded	nano	feeding_tube	not_recorded
Phaeocystis_globosa	Haptophyta	CM	yes	yes	nano	engulfment	yes
Phalacroma_cuneus	Dinoflagellata	pSNCM	no	not recorded	micro	not_recorded	not_recorded
Phalacroma_favus	Dinoflagellata	pSNCM	no	not recorded	micro	not_recorded	not_recorded
Phalacroma_mitra	Dinoflagellata	pSNCM	no	yes	micro	not_recorded	not_recorded
Phalacroma_rapa	Dinoflagellata	pSNCM	no	not recorded	micro	not_recorded	not_recorded
Phorticium_clevei	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Phorticium_multispinum	Radiolaria	eSNCM	no	not recorded	not recorded	axopodia;engulfment	not_recorded
Phorticium_polycladum	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Phorticium_pylonium	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Phorticium_strobilinum	Radiolaria	eSNCM	no	not recorded	not recorded	axopodia;engulfment	not_recorded
Phractopelta_dorataspis	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Phractopelta_sarmentosa	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Phyllostaurus_cuspidatus	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Phyllostaurus_quadrangulus	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Phyllostaurus_siculus	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Physematium_muelleri	Radiolaria	eSNCM	no	not recorded	meso	axopodia;engulfment	not_recorded
Plegmosphaera	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Podolampas_bipes	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Podolampas_reticulata	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Polykrikos_hartmannii	Dinoflagellata	CM	no	yes	micro	engulfment	yes
Polykrikos_lebourae	Dinoflagellata	CM	no	not recorded	micro	engulfment	yes
Polykrikos_tanit	Dinoflagellata	CM	no	not recorded	micro	tube_feeding	yes
Polysolenia_setosa	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Polysolenia_spinosa	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Polysolenia_transformata	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Procyttarium_primordialis	Radiolaria	eSNCM	no	not recorded	meso	axopodia;engulfment	not_recorded
Procyttarium_prototypus	Radiolaria	eSNCM	no	not recorded	not recorded	axopodia;engulfment	not_recorded
Prorocentrum_belizeanum	Dinoflagellata	CM	no	yes	micro	not_recorded	yes
Prorocentrum_cf._balticum	Dinoflagellata	CM	no	yes*	nano	peduncle	yes
Prorocentrum_cordatum	Dinoflagellata	CM	no	yes	nano	engulfment	yes
Prorocentrum_hoffmannianum	Dinoflagellata	CM	no	yes	micro	engulfment	yes
Prorocentrum_lima	Dinoflagellata	CM	no	yes	micro	not_recorded	yes
Prorocentrum_micans	Dinoflagellata	CM	no	not recorded	micro	engulfment	yes
Prorocentrum_obtusidens	Dinoflagellata	CM	no	not recorded	nano	engulfment	yes
Prorocentrum_redfieldii	Dinoflagellata	CM	no	not recorded	nano	engulfment	yes
Protoceratium_reticulatum	Dinoflagellata	CM	no	yes	micro	not_recorded	yes
Protoodinium_chattoni	Dinoflagellata	CM	no	not recorded	nano-micro	feeding_tube	not_recorded
Protoodinium_hovassei	Dinoflagellata	CM	no	not recorded	nano-micro	not_recorded	not_recorded
Prymnesium_parvum	Haptophyta	CM	no	yes	nano	engulfment	yes
Prymnesium_polylepis	Haptophyta	CM	no	yes	nano	engulfment	yes
Pseudotontonia_cornuta	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Pseudotontonia_simplicidens	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Pterocanium_campanella	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
